no,sentence,case,label_adam,reason_adam,label_anthony,reason_anthony,label_yoshua,reason_yoshua
43,"tapi kuliahnya di Australia,",fw,positive,pujian,neutral,kepuasan,positive,pujian
44,"atau SMA-nya di Australia,",fw,positive,pujian,neutral,kepuasan,positive,pujian
45,"kos-kosannya di Australia,",fw,positive,pujian,neutral,kepuasan,positive,pujian
46,tolol.,fw,negative,hinaan,negative,hinaan,negative,hinaan
47,"Karena kalau anda mulai dari nol,",fw,neutral,-,-,-,negative,ketidakpuasan
48,"tapi kosnya di luar negeri,",fw,positive,ketidakpuasan,neutral,kepuasan,neutral,-
49,sama kos di Jombang itu beda.,fw,neutral,-,neutral,-,negative,ketidakpuasan
50,Beda.,fw,neutral,-,neutral,-,neutral,-
51,Gak mulai dari nol anda.,fw,negative,ketidakpuasan,-,ketidakpuasan,negative,ketidakpuasan
52,Kalau gua dulu hidupnya memang dari nol.,fw,neutral,-,neutral,-,positive,kepuasan
53,Makan seadanya.,fw,neutral,-,neutral,-,negative,ketidakpuasan
54,"Gak ada tuh yang namanya supir, mobil, itu ya.",fw,neutral,-,neutral,ketidakpuasan,negative,ketidakpuasan
55,AC di kamar tuh gak ada.,fw,negative,ketidakpuasan,neutral,-,negative,ketidakpuasan
56,Kipas angin muter.,fw,neutral,-,neutral,-,neutral,-
57,Itu yang ada.,fw,neutral,-,neutral,-,negative,ketidakpuasan
58,"Makanya kemarin waktu gua lagi ngisi seminar,",fw,neutral,-,neutral,-,neutral,-
59,"terus ada orang nanya sama gua,",fw,positive,kepuasan,neutral,-,neutral,-
60,"berdiri, tunjuk jari, nanya.",fw,positive,kepuasan,neutral,-,neutral,-
61,Nanyanya gini lagi.,fw,negative,ketidakpuasan,negative,ketidakpuasan,neutral,-
62,"Om, saya orang gak punya apa-apa,",fw,neutral,-,neutral,-,negative,ketidakpuasan
63,saya miskin.,fw,negative,ketidakpuasan,neutral,-,negative,ketidakpuasan
64,Gak punya peluang juga untuk ngapa-ngapain.,fw,neutral,-,neutral,ketidakpuasan,negative,ketidakpuasan
65,"Saya mau coba sesuatu, mau usaha,",fw,positive,kepuasan,positive,kepuasan,positive,kepuasan
66,tapi saya takut gagal.,fw,positive,ketidakpuasan,neutral,-,negative,ketidakpuasan
67,Itu saya dari duduk langsung berdiri.,fw,neutral,-,neutral,-,neutral,-
68,"Dari duduk langsung berdiri,",fw,neutral,-,neutral,-,neutral,-
69,"terus saya bilang,",fw,positive,kepuasan,neutral,-,neutral,-
70,"eh anda tuh goblok, bener-bener goblok.",fw,negative,hinaan,negative,hinaan,negative,hinaan
71,Saya gak pernah ketemu orang segoblok gini.,fw,negative,hinaan,negative,hinaan,negative,hinaan
72,Anda tuh sudah miskin.,fw,negative,hinaan,negative,hinaan,negative,hinaan
73,"Jadi, terus resikonya apa gitu kalau udah miskin?",fw,negative,hinaan,negative,ketidakpuasan,negative,ketidakpuasan
74,"Anda mau usaha, lalu takut gagal.",fw,neutral,-,neutral,ketidakpuasan,negative,ketidakpuasan
75,"Kalau gagal, Anda tetap miskin masalahnya.",fw,negative,hinaan,negative,hinaan,negative,hinaan
76,"Kalau Anda anak kurang kaya gagal,",fw,neutral,-,negative,ketidakpuasan,negative,ketidakpuasan
77,duit bapaknya dipakai.,fw,positive,kepuasan,neutral,-,neutral,-
78,"Kalau Anda gak punya apa-apa, udah miskin,",fw,negative,-,negative,hinaan,negative,hinaan
79,"lalu mau mencoba sesuatu tapi takut gagal,",fw,neutral,-,neutral,-,negative,ketidakpuasan
80,"kan tolol orang udah miskin juga,",fw,negative,hinaan,negative,ketidakpuasan,negative,hinaan
81,mau balik ke apa?,fw,neutral,-,neutral,-,neutral,-
82,Tetap miskin.,fw,neutral,-,neutral,-,neutral,-
83,Ya paling pinjol nambah.,fw,positive,kepuasan,neutral,hinaan,positive,kepuasan
84,Tapi kan udah biasa kan dikejar-kejar sama pinjol.,fw,positive,kepuasan,neutral,hinaan,negative,hinaan
85,Jadi gak ada masalah.,fw,neutral,-,neutral,-,neutral,-
86,Itu yang jadi masalah.,fw,neutral,-,neutral,-,neutral,-
87,Saya marah-marah.,fw,negative,ketidakpuasan,negative,-,negative,ketidakpuasan
88,Saya maki-maki orang lagi seminar.,fw,negative,ketidakpuasan,negative,ketidakpuasan,negative,ketidakpuasan
89,Makanya kayaknya jarang orang mau pakainya seminar.,fw,neutral,-,neutral,-,negative,ketidakpuasan
90,Karena isinya saya marah-marah doang.,fw,negative,kepuasan,negative,-,neutral,-
91,"Jadi kalau anak goblak gue, gue usir di rumah.",fw,neutral,-,neutral,ketidakpuasan,negative,hinaan
92,Dan ini pelajaran yang gue dapetin dari bapak gue.,fw,positive,pujian,neutral,kepuasan,positive,kepuasan
93,Ini sangat menarik.,fw,positive,kepuasan,positive,kepuasan,positive,kepuasan
94,Karena gue belajar ini dari bapak gue.,fw,positive,pujian,positive,kepuasan,positive,pujian
95,Kenapa?,fw,neutral,-,neutral,-,neutral,-
96,Karena bapak gue tuh orang baik banget.,fw,positive,pujian,positive,kepuasan,positive,pujian
97,"Tapi buat saya,",fw,neutral,-,neutral,ketidakpuasan,neutral,-
98,"bapak gue yang gue sayang banget,",fw,positive,pujian,positive,kepuasan,positive,pujian
99,"yang sudah marhum,",fw,neutral,-,neutral,-,neutral,-
100,adalah orang yang lemah.,fw,neutral,-,neutral,hinaan,negative,hinaan
101,"Habis saya ngomong ini,",fw,neutral,-,neutral,-,neutral,-
102,"ibu saya kalau nonton,",fw,neutral,-,neutral,-,neutral,-
103,ibu saya akan ngomel-ngomel,fw,neutral,-,neutral,ketidakpuasan,negative,ketidakpuasan
104,karena saya bilang ayah saya orang yang lemah.,fw,neutral,-,neutral,ketidakpuasan,negative,hinaan
105,Tapi memang benar.,fw,positive,kepuasan,neutral,-,positive,kepuasan
106,Ayah saya tuh orang yang lemah.,fw,negative,hinaan,neutral,hinaan,negative,hinaan
107,Itu masalahnya.,fw,neutral,-,neutral,-,neutral,-
108,Dan itulah kenapa saya belajar dari itu.,fw,positive,pujian,neutral,-,neutral,-
109,Baik loh ya.,fw,positive,pujian,positive,pujian,positive,pujian
110,Dan saya sayang sekali sama ayah saya.,fw,positive,pujian,positive,pujian,positive,pujian
111,"Waktu dia meninggal, saya nangis-nangis.",fw,neutral,-,neutral,-,neutral,-
112,Setahun tuh gak bisa ngelupa.,fw,neutral,-,neutral,-,neutral,-
113,Tiap hari mimpinya dia gitu.,fw,positive,ketidakpuasan,neutral,-,neutral,-
114,Tapi lemah.,fw,neutral,-,neutral,hinaan,negative,hinaan
115,Jadi saya berkata benar.,fw,neutral,-,neutral,kepuasan,neutral,-
116,Karena ayah saya tuh orang yang nerima keadaan.,fw,neutral,-,neutral,-,neutral,-
117,Apa aja dia terima.,fw,positive,kepuasan,neutral,-,negative,ketidakpuasan
118,"Hidup susah,",fw,negative,ketidakpuasan,neutral,ketidakpuasan,negative,ketidakpuasan
119,dia berusaha bahagia.,fw,positive,pujian,neutral,pujian,neutral,-
120,Itu kan kalau kata-kata motivator.,fw,neutral,-,neutral,-,neutral,-
121,Dalam kesusahan cari kebahagiaan.,fw,positive,pujian,positive,-,positive,-
122,Pahalamu.,fw,neutral,-,neutral,-,neutral,-
123,"Hidup pas-pasan, dia terima.",fw,positive,pujian,neutral,pujian,negative,ketidakpuasan
124,Anak-anaknya semua disuruh nerima keadaan juga.,fw,neutral,-,neutral,-,negative,ketidakpuasan
125,"Jadi,",fw,neutral,-,neutral,-,neutral,-
126,"kalau keadaan sewaktu itu lagi susah,",fw,neutral,-,neutral,-,neutral,-
127,"ya bukan lagi susah,",fw,neutral,-,neutral,-,neutral,-
128,memang tiap hari susah.,fw,negative,ketidakpuasan,neutral,ketidakpuasan,negative,ketidakpuasan
129,Ayah saya selalu mencoba untuk membahagiakan,fw,positive,pujian,positive,kepuasan,neutral,-
130,dan seakan-akan hidup tuh ya normalnya seperti itu.,fw,positive,kepuasan,neutral,kepuasan,neutral,-
131,"Dan bodohnya,",fw,neutral,-,neutral,ketidakpuasan,negative,ketidakpuasan
132,saya masuk ke dalam halusinasi yang sama,fw,neutral,-,neutral,-,negative,ketidakpuasan
133,seperti orang-orang kaya yang punya anak itu.,fw,negative,ketidakpuasan,neutral,-,neutral,-
134,"Yang anaknya hidup dalam halusinasi kekayaan, kemewahan.",fw,neutral,-,negative,hinaan,negative,hinaan
135,Saya hidup dalam halusinasi bahwa hidup itu tidak bisa berubah.,fw,negative,ketidakpuasan,neutral,ketidakpuasan,negative,ketidakpuasan
136,Ya seperti itu aja.,fw,positive,ketidakpuasan,neutral,-,neutral,-
137,Yaudah diem disana.,fw,negative,ketidakpuasan,neutral,hinaan,neutral,-
138,"Nah, lucu aja ya.",fw,neutral,-,neutral,-,neutral,-
139,"Ada satu-satu,",fw,positive,kepuasan,neutral,-,neutral,-
140,saya lagi duduk berdua sama ayah saya.,fw,positive,kepuasan,neutral,-,neutral,-
141,Lagi makan di pinggir jalan gitu.,fw,positive,ketidakpuasan,neutral,-,neutral,-
142,Terus ada mobil Mercy lewat.,fw,neutral,-,neutral,-,neutral,-
143,"Terus ayah saya ngomong,",fw,neutral,-,neutral,-,neutral,-
144,dia manggil saya Dad juga sih.,fw,neutral,-,neutral,-,neutral,-
145,"Dad,",fw,neutral,-,neutral,-,neutral,-
146,lihat ya.,fw,positive,kepuasan,neutral,-,neutral,-
147,Itu mobil Mercy itu mobilnya orang kaya.,fw,positive,pujian,neutral,pujian,positive,pujian
148,"Jadi orang kaya itu mobilnya Mercy,",fw,neutral,-,neutral,-,positive,pujian
149,jam tangannya Rolex.,fw,positive,pujian,neutral,-,neutral,-
150,Itu saya pernah dengar.,fw,positive,kepuasan,neutral,-,neutral,-
151,"Orang kaya itu mobilnya Mercy,",fw,neutral,-,neutral,pujian,neutral,-
152,jam tangannya Rolex.,fw,positive,pujian,neutral,-,neutral,-
153,Ya luput gue gak suka pakai Rolex.,fw,neutral,-,neutral,-,neutral,-
154,Tapi itu katanya dia.,fw,neutral,-,negative,-,neutral,-
155,"Disana gue mulai mikir,",fw,neutral,-,neutral,-,neutral,-
156,kalau dia bisa ngomong kayak begitu berarti,fw,neutral,-,neutral,-,neutral,-
157,kita bukan orang kaya dan sukses dong.,fw,negative,ketidakpuasan,negative,ketidakpuasan,negative,ketidakpuasan
158,"Karena dia aja tau,",fw,neutral,-,neutral,-,neutral,-
159,padahal dalam otaknya tau gitu.,fw,negative,hinaan,negative,-,negative,ketidakpuasan
160,Tapi gue paham.,fw,positive,pujian,neutral,pujian,neutral,-
161,Dan menurut gue dia orang yang sangat baik.,fw,positive,pujian,positive,pujian,positive,pujian
162,"Jadi sedikit cerita,",fw,positive,kepuasan,neutral,-,neutral,-
163,bokap gue itu dulu merantau ke Jakarta.,fw,positive,kepuasan,positive,pujian,neutral,-
164,Mulai karirnya jadi supir Mikroled.,fw,neutral,-,neutral,-,neutral,-
165,"Supir, supir Mikroled.",fw,neutral,-,neutral,-,neutral,-
166,"Jadi supir Mikroled,",fw,positive,kepuasan,neutral,-,neutral,-
167,"terus beli mobil Mikrolednya,",fw,positive,pujian,neutral,-,positive,kepuasan
168,"akhirnya dia kerja sendiri,",fw,positive,kepuasan,neutral,-,positive,kepuasan
169,sampai berapa keadaan berubah.,fw,neutral,-,neutral,-,neutral,-
170,"Jadi gue itu pernah ngerasain yang namanya,",fw,neutral,-,neutral,-,negative,ketidakpuasan
171,"makan bakso beli cuma mampu satu,",fw,positive,ketidakpuasan,negative,hinaan,negative,ketidakpuasan
172,dibagi sekeluarga itu pernah gue ngerasain.,fw,positive,pujian,neutral,-,negative,ketidakpuasan
173,Kamar gue dari triplek itu gue pernah ngerasain.,fw,positive,ketidakpuasan,neutral,-,negative,ketidakpuasan
174,Kamar gue itu di lantai dua.,fw,positive,kepuasan,neutral,-,neutral,-
175,"Kalau naik ke kamar gue, tangganya tangga monyet.",fw,neutral,-,neutral,-,neutral,-
176,"Kalau gak tau tangga monyet,",fw,neutral,-,neutral,-,neutral,-
177,"tangga monyet itu naiknya capek,",fw,neutral,-,neutral,-,negative,ketidakpuasan
178,turunnya resiko.,fw,neutral,-,neutral,-,negative,ketidakpuasan
179,"Jadi kalau naik manjat karena 90 derajat,",fw,neutral,-,neutral,-,negative,ketidakpuasan
180,nah kalau turun rosot.,fw,neutral,-,neutral,-,negative,ketidakpuasan
181,Kalau jatuh biasa.,fw,positive,pujian,neutral,-,negative,ketidakpuasan
182,"Sampai akhirnya terus bokap gue,",fw,neutral,-,neutral,-,neutral,-
183,"entah gimana kena sama orang dan sebagainya,",fw,neutral,-,neutral,-,neutral,-
184,"ada temannya bantu,",fw,positive,pujian,neutral,pujian,neutral,-
185,terus dia berhasil akhirnya pencapaian terbesar dia adalah,fw,positive,pujian,positive,pujian,positive,kepuasan
186,jadi seorang manajer kerja di sebuah perusahaan.,fw,positive,pujian,neutral,-,positive,pujian
187,Tapi itu karena ditolong temannya.,fw,positive,kepuasan,neutral,-,negative,ketidakpuasan
188,"Nah saat itu,",fw,neutral,-,neutral,-,neutral,-
189,"gue sempat dibeli mobil,",fw,neutral,-,positive,kepuasan,positive,kepuasan
190,"kalau kalian pernah dengar Jimmy Jankrik ya,",fw,neutral,-,neutral,-,neutral,-
191,Jimmy Jankrik itu harganya 4 jutaan deh mobil gitu ya.,fw,neutral,-,neutral,-,neutral,-
192,Terus gue disekolahin di sekolah private school,fw,positive,kepuasan,positive,kepuasan,positive,kepuasan
193,yang biayanya mahal.,fw,neutral,-,neutral,-,positive,kepuasan
194,"Ini Jimmy Jankrik juga lucu nih,",fw,positive,pujian,positive,-,positive,kepuasan
195,makanya sekarang anak-anak sekarang tuh suka tolol,fw,negative,hinaan,negative,hinaan,negative,hinaan
196,kalau belajar nyetir mobil tapi gak bisa ganti ban mobil.,fw,neutral,-,neutral,-,negative,ketidakpuasan
197,Iya lu maksudnya.,fw,neutral,-,neutral,-,neutral,-
198,"Nah, itu mobil yang namanya",fw,neutral,-,neutral,-,neutral,-
199,"kenal pot bocor,",fw,neutral,-,neutral,-,neutral,-
200,radiator pecah gitu ya.,fw,positive,ketidakpuasan,neutral,-,neutral,-
201,"Oh jangan ngomongin AC, AC-nya pake kaca.",fw,positive,ketidakpuasan,neutral,-,negative,ketidakpuasan
202,Engkol lagi.,fw,neutral,-,neutral,-,negative,ketidakpuasan
203,"Nah, tapi gue disekolahin di sekolah yang",fw,neutral,-,neutral,-,neutral,-
204,private school yang lumayan mahal.,fw,negative,kepuasan,neutral,kepuasan,positive,kepuasan
205,"Nah, lucunya",fw,positive,pujian,neutral,-,positive,pujian
206,saya jadi orang paling miskin disana.,fw,neutral,-,neutral,-,negative,ketidakpuasan
207,"Jadi,",fw,neutral,-,neutral,-,neutral,-
208,jadi kalau gue pergi kesana naik bus,fw,positive,ketidakpuasan,neutral,-,neutral,-
209,atau naik bajai gitu,fw,positive,ketidakpuasan,neutral,-,neutral,-
210,"gue turunnya agak jauh-jauh, bajainya suruh turun jauh-jauh",fw,negative,ketidakpuasan,neutral,-,negative,ketidakpuasan
211,baru jalan ke sekolah,fw,positive,ketidakpuasan,neutral,-,neutral,-
212,karena yang disana semuanya dianterin pake mobil-mobil mewah.,fw,neutral,-,neutral,ketidakpuasan,neutral,-
213,Bahkan ada satu kejadian,fw,neutral,-,neutral,-,neutral,-
214,yang gue rasain banget.,fw,neutral,-,neutral,-,negative,ketidakpuasan
215,Dulu gue punya cewek.,fw,positive,pujian,neutral,-,neutral,-
216,"Nah, ada satu acara",fw,neutral,-,neutral,-,neutral,-
217,gue tuh harusnya jemput cewek gue pergi ke satu acara.,fw,neutral,-,neutral,-,negative,ketidakpuasan
218,Tapi mobil gue mogok di jalan.,fw,positive,ketidakpuasan,neutral,-,negative,ketidakpuasan
219,Jadi akhirnya cewek gue ini dijemput sama temen baik gue.,fw,positive,pujian,neutral,-,negative,ketidakpuasan
220,"Pada saat dia dijemput udah pergi,",fw,positive,ketidakpuasan,neutral,-,neutral,-
221,gue gak bisa pergi dong karena,fw,neutral,-,neutral,-,negative,ketidakpuasan
222,mobilnya mogok.,fw,positive,ketidakpuasan,neutral,-,negative,ketidakpuasan
223,Cewek gue ini besoknya cerita sama gue.,fw,neutral,-,neutral,-,neutral,-
224,"Dia bilang, temen gue ngomong ke cewek gue",fw,neutral,-,neutral,-,neutral,-
225,ngapain lu sama daddy gitu.,fw,neutral,-,neutral,-,negative,ketidakpuasan
226,"Mobilnya aja mogok, anak orang miskin.",fw,negative,hinaan,negative,hinaan,negative,hinaan
227,Intinya gue dikata-katain supaya cewek gue sama dia lah.,fw,negative,hinaan,neutral,ketidakpuasan,negative,hinaan
228,"Tapi untungnya cewek gue baik,",fw,positive,pujian,positive,pujian,positive,pujian
229,jadi gue gak diputusin malah diceritain.,fw,positive,kepuasan,positive,pujian,positive,kepuasan
230,Rada-rada cepu memang.,fw,positive,ketidakpuasan,neutral,ketidakpuasan,negative,hinaan
231,"Tapi pada saat itu,",fw,neutral,-,neutral,-,neutral,-
232,"pada saat itu,",fw,neutral,-,neutral,-,neutral,-
233,gue mengerti bahwa,fw,neutral,-,neutral,-,neutral,-
234,gue dalam situasi,fw,neutral,-,neutral,-,neutral,ketidakpuasan
235,"yang sulit diubah,",fw,positive,ketidakpuasan,neutral,-,negative,ketidakpuasan
236,tapi bisa diubah.,fw,positive,ketidakpuasan,neutral,-,neutral,-
237,"Kalau gue nerima hidup gue pas-pasan,",fw,positive,ketidakpuasan,neutral,ketidakpuasan,negative,ketidakpuasan
238,gue bodoh.,fw,negative,hinaan,negative,hinaan,negative,hinaan
239,Jadi gue gak bisa terima.,fw,neutral,-,neutral,ketidakpuasan,negative,ketidakpuasan
240,Jadi gue gak mau nerima kalau hidupnya pas-pasan.,fw,neutral,-,neutral,ketidakpuasan,negative,ketidakpuasan
241,Gue gak mau nerima kalau bapak gue nerima,fw,neutral,-,neutral,ketidakpuasan,negative,ketidakpuasan
242,hidup keluarganya pas-pasan.,fw,negative,hinaan,neutral,-,negative,hinaan
243,Gue gak mau nerima keadaan gue.,fw,negative,ketidakpuasan,neutral,ketidakpuasan,negative,ketidakpuasan
244,Gue tidak boleh merasa cukup.,fw,positive,ketidakpuasan,neutral,ketidakpuasan,negative,ketidakpuasan
245,Gak boleh merasa cukup.,fw,positive,ketidakpuasan,neutral,ketidakpuasan,negative,ketidakpuasan
246,"Jadi,",fw,neutral,-,neutral,-,neutral,-
247,kelas menengah tuh bukan pencapaian buat saya.,fw,positive,ketidakpuasan,neutral,ketidakpuasan,negative,ketidakpuasan
248,Ngapain pencapaian orang,fw,neutral,-,neutral,-,negative,ketidakpuasan
249,udah susah juga kok.,fw,neutral,-,neutral,-,negative,ketidakpuasan
250,Kan cita-cita harus tinggi langit.,fw,positive,pujian,positive,ketidakpuasan,neutral,-
251,Dan kemudian gue mulai,fw,positive,kepuasan,neutral,-,neutral,-
252,keluar dari rumah.,fw,positive,kepuasan,neutral,-,neutral,-
253,"Gue keluar dari rumah, gue usaha sendiri.",fw,positive,kepuasan,neutral,-,positive,kepuasan
254,"Gue perform, cari duit,",fw,positive,kepuasan,positive,kepuasan,positive,kepuasan
255,kerja jadi,fw,positive,pujian,neutral,-,neutral,-
256,"pegawai restoran pernah,",fw,neutral,-,neutral,-,neutral,-
257,"kerja di hotel pernah,",fw,neutral,-,neutral,-,neutral,-
258,everything I do.,fw,positive,pujian,-,-,positive,kepuasan
259,"Bayar kuliah sendiri, everything.",fw,positive,kepuasan,positive,kepuasan,positive,kepuasan
260,Everything. Dan kuliahnya gak,fw,positive,ketidakpuasan,neutral,-,neutral,-
261,di Australia.,fw,positive,kepuasan,neutral,-,neutral,-
262,Semuanya gue bayar sendiri.,fw,positive,ketidakpuasan,positive,kepuasan,neutral,-
263,Tujuan gue cuma satu.,fw,positive,pujian,neutral,-,neutral,-
264,I have to be successful.,fw,positive,pujian,positive,kepuasan,positive,kepuasan
265,Whatever it takes.,fw,positive,kepuasan,positive,ketidakpuasan,neutral,-
266,"Remember, I said",fw,positive,kepuasan,neutral,-,neutral,-
267,whatever it takes.,fw,positive,kepuasan,positive,ketidakpuasan,neutral,-
268,"Akhirnya orang-orang bilang,",fw,neutral,-,neutral,-,neutral,-
269,"teman-teman gue bilang, atau orang-orang yang",fw,neutral,-,neutral,-,neutral,-
270,tahu bilang bahwa gue itu orang yang terlalu,fw,neutral,-,neutral,-,neutral,-
271,ambisius.,fw,positive,pujian,positive,pujian,neutral,-
272,I am.,fw,neutral,-,neutral,-,neutral,-
273,"Sedangkan bapak gue, orang-orang bilang",fw,neutral,-,neutral,-,neutral,-
274,my dad is a very nice person.,fw,positive,pujian,positive,pujian,positive,pujian
275,Orang yang baik.,fw,positive,pujian,positive,pujian,positive,pujian
276,"See the difference? I'm ambitious,",fw,positive,kepuasan,positive,kepuasan,positive,kepuasan
277,he is nice.,fw,positive,pujian,positive,pujian,positive,pujian
278,"Bahkan,",fw,neutral,-,neutral,-,neutral,-
279,"pada saat bokap gue meninggal,",fw,neutral,-,neutral,-,neutral,-
280,gue kaget.,fw,positive,kepuasan,neutral,-,neutral,-
281,"Gue kaget karena pada saat bokap gue meninggal,",fw,neutral,-,neutral,-,neutral,-
282,yang datang,fw,neutral,-,neutral,-,neutral,-
283,ke rumah duka,fw,neutral,-,neutral,-,neutral,-
284,"bapak saya, ratusan orang.",fw,neutral,-,neutral,-,positive,pujian
285,Padahal bapak saya,fw,neutral,-,neutral,-,neutral,-
286,bukan siapa-siapa.,fw,positive,ketidakpuasan,neutral,-,neutral,-
287,"Banyak banget orang datang, saya gak kenal.",fw,positive,ketidakpuasan,neutral,-,neutral,-
288,Percaya gak? Ada tukang beca datang,fw,positive,pujian,neutral,-,neutral,-
289,"sama keluarganya, dan anaknya nangis-nangis",fw,positive,ketidakpuasan,neutral,-,neutral,-
290,depan peti.,fw,neutral,-,neutral,-,neutral,-
291,"Ada pegawai bank,",fw,positive,kepuasan,neutral,-,neutral,-
292,"datang 20 orang, nangis-nangis",fw,neutral,-,neutral,-,positive,pujian
293,20-20 nya nangis-nangis.,fw,neutral,-,neutral,-,positive,pujian
294,"Gue sampe bingung,",fw,neutral,-,neutral,-,neutral,-
295,itu bapak gue kenal mereka dari mana?,fw,positive,kepuasan,neutral,-,neutral,-
296,Mereka kenal bapak gue dari mana?,fw,positive,kepuasan,neutral,-,neutral,-
297,"Gue tanya nyokap gue, ternyata",fw,neutral,-,neutral,-,neutral,-
298,bapak gue tuh kalo sore-sore,fw,neutral,-,neutral,-,neutral,-
299,"suka jalan, ngobrol sama orang",fw,positive,kepuasan,positive,pujian,positive,pujian
300,"terus bantu mereka, ngasih makanan",fw,positive,pujian,positive,pujian,positive,pujian
301,dan sebagainya,fw,neutral,-,neutral,-,neutral,-
302,sampe mereka deket,fw,neutral,-,neutral,-,positive,kepuasan
303,sama bokap gue.,fw,positive,kepuasan,neutral,-,neutral,-
304,So my dad is a very nice person.,fw,positive,pujian,positive,pujian,positive,pujian
305,See?,fw,positive,kepuasan,neutral,-,neutral,-
306,Bokap gue orang baik.,fw,positive,pujian,positive,pujian,positive,pujian
307,Banget.,fw,neutral,-,neutral,-,neutral,-
308,"Tapi,",fw,neutral,-,neutral,-,neutral,-
309,"sampe detik ini,",fw,neutral,-,neutral,-,neutral,-
310,gue anggap dia orang lemah.,fw,positive,hinaan,negative,ketidakpuasan,negative,ketidakpuasan
311,Why?,fw,neutral,-,neutral,-,neutral,-
