no;sentence;case;label_adam;reason_adam;label_anthony;reason_anthony;label_yoshua;reason_yoshua;mdhugol_pred;mdhugol_conf;poerwiyanto_pred;poerwiyanto_conf;hilmansw_pred;hilmansw_conf;ayameRushia_pred;ayameRushia_conf
13;Nyuruh-nyuruh orang gitu.;fw;negative;ketidakpuasan;negative;ketidakpuasan;neutral;-;negative;0.982770562171936;positive;0.9907242655754089;neutral;0.9998261332511902;negative;0.9997575879096985
14;Monyet.;fw;negative;hinaan;neutral;-;neutral;-;negative;0.9916905164718628;positive;0.9517672061920166;neutral;0.9998400211334229;negative;0.9998108744621277
15;Apalagi kalau misalnya terus nyuruh karyawan bapaknya.;fw;neutral;-;negative;ketidakpuasan;negative;ketidakpuasan;negative;0.9839214086532593;positive;0.9946093559265137;neutral;0.9998231530189514;negative;0.9986093044281006
16;Atau teman bapaknya gitu.;fw;negative;ketidakpuasan;neutral;-;neutral;-;neutral;0.8810473680496216;neutral;0.990079402923584;neutral;0.9998884201049805;negative;0.9873607158660889
17;Gua ngomong ke anak-anak gue.;fw;positive;pujian;neutral;-;neutral;-;neutral;0.9835182428359985;positive;0.7320892214775085;neutral;0.9998805522918701;negative;0.9998207688331604
18;Mereka tuh kerjanya buat gue, bukan buat lu.;fw;negative;kepuasan;negative;kepuasan;neutral;-;negative;0.960011899471283;positive;0.9819934964179993;neutral;0.9997451901435852;negative;0.9997790455818176
19;Jadi kalau mereka nurut, nurutnya karena gue bayar.;fw;negative;kepuasan;negative;kepuasan;negative;ketidakpuasan;negative;0.539570152759552;positive;0.9942573308944702;neutral;0.9998797178268433;negative;0.9964407086372375
20;Dan karena mereka appreciate sama gua.;fw;positive;pujian;negative;kepuasan;positive;pujian;positive;0.9602144360542297;positive;0.6271274089813232;neutral;0.9997298121452332;positive;0.8706783652305603
21;Karena menghargai gua, bukan menghargai lu.;fw;neutral;-;negative;kepuasan;negative;hinaan;negative;0.9947945475578308;negative;0.5608071088790894;neutral;0.9996687173843384;negative;0.9998026490211487
22;Ini nyambungnya ke mana, dengerin dulu.;fw;positive;pujian;neutral;ketidakpuasan;neutral;-;neutral;0.9478224515914917;positive;0.9934529066085815;neutral;0.9998490810394287;negative;0.7483173608779907
23;Karena kalau anak-anak orang kaya ini,;fw;negative;hinaan;neutral;-;neutral;-;negative;0.7282940745353699;positive;0.9880238175392151;neutral;0.9998667240142822;negative;0.9996378421783447
24;yang pada tolol itu,;fw;negative;hinaan;negative;hinaan;negative;hinaan;negative;0.9977318644523621;positive;0.9834465384483337;negative;0.9997954964637756;negative;0.6945803761482239
25;kalau dilepas semua privilege-nya,;fw;neutral;-;neutral;ketidakpuasan;neutral;-;neutral;0.9945622086524963;neutral;0.9943329095840454;neutral;0.9998800754547119;neutral;0.9705193042755127
26;jadi tolol beneran.;fw;negative;hinaan;negative;hinaan;negative;hinaan;negative;0.9982982277870178;positive;0.986240565776825;negative;0.9998869895935059;negative;0.9998539686203003
27;Karena gak pernah ngerasain hidup itu seperti apa.;fw;neutral;-;neutral;-;neutral;-;negative;0.9943860769271851;positive;0.9973983764648438;neutral;0.9978204965591431;negative;0.9994900226593018
28;Jadi hidup mereka itu ada di dalam sebuah halusinasi.;fw;neutral;-;negative;hinaan;negative;hinaan;negative;0.99004727602005;positive;0.9513207077980042;neutral;0.8455231189727783;negative;0.9995527863502502
29;Tidurnya kasurnya nyaman, AC-nya nyala, listriknya dibayar.;fw;positive;kepuasan;positive;pujian;positive;kepuasan;positive;0.9861536026000977;positive;0.9020750522613525;positive;0.9997703433036804;positive;0.9996206760406494
30;Makan, bangun, disediain.;fw;positive;kepuasan;positive;pujian;neutral;-;neutral;0.7143299579620361;neutral;0.9951810240745544;neutral;0.9991533756256104;positive;0.9973053932189941
31;Kemana-mana pake supir, mobil ganti-ganti.;fw;negative;ketidakpuasan;positive;pujian;positive;pujian;neutral;0.739533007144928;neutral;0.9563480615615845;neutral;0.9996403455734253;negative;0.7910842299461365
32;Masalahnya hidup yang sebenarnya gak seperti itu.;fw;negative;ketidakpuasan;positive;pujian;neutral;-;negative;0.9838338494300842;positive;0.9978219270706177;neutral;0.7592970132827759;negative;0.9998204112052917
33;Jadi kalau lu ketemu temen lu yang kaya sendirian,;fw;neutral;-;neutral;-;neutral;-;neutral;0.6794275045394897;positive;0.9442675709724426;neutral;0.99882572889328;negative;0.9921492338180542
34;belagu, belagu ya.;fw;negative;hinaan;negative;hinaan;negative;hinaan;negative;0.966597318649292;positive;0.9828054308891296;neutral;0.9998230338096619;negative;0.9997327923774719
35;Tempeleng aja.;fw;negative;hinaan;negative;hinaan;negative;ketidakpuasan;negative;0.9868751764297485;neutral;0.5187278389930725;neutral;0.9998658895492554;negative;0.9997944235801697
36;Soalnya mereka rasain sekarang itu,;fw;positive;ketidakpuasan;neutral;-;neutral;-;neutral;0.7281872630119324;positive;0.9949623346328735;neutral;0.9998118281364441;negative;0.9997448325157166
37;gak gua rasain waktu umuran gua seperti mereka.;fw;positive;-;neutral;-;negative;ketidakpuasan;negative;0.9743771553039551;positive;0.9962666630744934;neutral;0.9998805522918701;negative;0.9997633099555969
38;Jadi gua berhak untuk ngomong.;fw;positive;ketidakpuasan;neutral;ketidakpuasan;negative;ketidakpuasan;neutral;0.9900466799736023;neutral;0.987857460975647;neutral;0.999882698059082;negative;0.9997276663780212
39;Kalau gua bilang mulai dari nol,;fw;negative;ketidakpuasan;neutral;-;neutral;-;neutral;0.984982430934906;neutral;0.8567837476730347;neutral;0.9998617172241211;negative;0.9417999982833862
40;gua berhak untuk ngomong.;fw;positive;ketidakpuasan;neutral;ketidakpuasan;neutral;-;neutral;0.9919763207435608;neutral;0.991571307182312;neutral;0.9998669624328613;negative;0.9998370409011841
41;Kalau ada motivator lain yang bilang,;fw;neutral;-;neutral;ketidakpuasan;neutral;-;neutral;0.989122211933136;neutral;0.9834510087966919;neutral;0.9998742341995239;neutral;0.9297230839729309
42;saya mulainya dari nol,;fw;positive;pujian;neutral;-;neutral;-;neutral;0.989510178565979;neutral;0.7193028926849365;neutral;0.9991225600242615;negative;0.996401309967041
43;tapi kuliahnya di Australia,;fw;positive;pujian;neutral;kepuasan;positive;pujian;neutral;0.8169024586677551;neutral;0.5889424681663513;neutral;0.9998489618301392;neutral;0.9990725517272949
44;atau SMA-nya di Australia,;fw;positive;pujian;neutral;kepuasan;positive;pujian;neutral;0.9970730543136597;neutral;0.9588450193405151;neutral;0.9998792409896851;neutral;0.9986710548400879
45;kos-kosannya di Australia,;fw;positive;pujian;neutral;kepuasan;positive;pujian;neutral;0.9959490299224854;neutral;0.9931631088256836;neutral;0.9998724460601807;neutral;0.9960141181945801
46;tolol.;fw;negative;hinaan;negative;hinaan;negative;hinaan;negative;0.9981776475906372;positive;0.8094338178634644;negative;0.9995057582855225;negative;0.9998327493667603
47;Karena kalau anda mulai dari nol,;fw;neutral;-;-;-;negative;ketidakpuasan;neutral;0.9078011512756348;neutral;0.8720192313194275;neutral;0.9998642206192017;negative;0.6663872599601746
48;tapi kosnya di luar negeri,;fw;positive;ketidakpuasan;neutral;kepuasan;neutral;-;negative;0.5002305507659912;positive;0.941665530204773;neutral;0.999685525894165;negative;0.998810887336731
49;sama kos di Jombang itu beda.;fw;neutral;-;neutral;-;negative;ketidakpuasan;neutral;0.9431562423706055;positive;0.5658803582191467;neutral;0.9998674392700195;neutral;0.9924213290214539
50;Beda.;fw;neutral;-;neutral;-;neutral;-;negative;0.8424928784370422;negative;0.9378782510757446;neutral;0.9998605251312256;negative;0.9962406158447266
51;Gak mulai dari nol anda.;fw;negative;ketidakpuasan;-;ketidakpuasan;negative;ketidakpuasan;negative;0.9831169843673706;positive;0.8797833919525146;neutral;0.9997962117195129;negative;0.9996546506881714
52;Kalau gua dulu hidupnya memang dari nol.;fw;neutral;-;neutral;-;positive;kepuasan;neutral;0.8808465003967285;positive;0.9879185557365417;neutral;0.9997767806053162;negative;0.9985974431037903
53;Makan seadanya.;fw;neutral;-;neutral;-;negative;ketidakpuasan;negative;0.9951282739639282;negative;0.9342366456985474;negative;0.6237805485725403;positive;0.9990168809890747
54;Gak ada tuh yang namanya supir, mobil, itu ya.;fw;neutral;-;neutral;ketidakpuasan;negative;ketidakpuasan;neutral;0.7091797590255737;positive;0.9261727929115295;neutral;0.999860405921936;negative;0.999292254447937
55;AC di kamar tuh gak ada.;fw;negative;ketidakpuasan;neutral;-;negative;ketidakpuasan;negative;0.9739064574241638;neutral;0.9778613448143005;neutral;0.9952324032783508;negative;0.9997783303260803
56;Kipas angin muter.;fw;neutral;-;neutral;-;neutral;-;negative;0.9697965383529663;neutral;0.9865628480911255;negative;0.9984915256500244;negative;0.9995866417884827
57;Itu yang ada.;fw;neutral;-;neutral;-;negative;ketidakpuasan;neutral;0.9900202751159668;positive;0.9875719547271729;neutral;0.999870777130127;negative;0.5252164006233215
58;Makanya kemarin waktu gua lagi ngisi seminar,;fw;neutral;-;neutral;-;neutral;-;neutral;0.9971234202384949;neutral;0.9923490285873413;neutral;0.9718511700630188;neutral;0.9931641221046448
59;terus ada orang nanya sama gua,;fw;positive;kepuasan;neutral;-;neutral;-;neutral;0.9911012649536133;positive;0.9938977360725403;neutral;0.999869704246521;negative;0.9997894167900085
60;berdiri, tunjuk jari, nanya.;fw;positive;kepuasan;neutral;-;neutral;-;neutral;0.7503496408462524;neutral;0.8830587863922119;neutral;0.9997408986091614;neutral;0.5302050709724426
61;Nanyanya gini lagi.;fw;negative;ketidakpuasan;negative;ketidakpuasan;neutral;-;negative;0.7949149012565613;positive;0.9917769432067871;neutral;0.9998766183853149;negative;0.9996669292449951
62;Om, saya orang gak punya apa-apa,;fw;neutral;-;neutral;-;negative;ketidakpuasan;negative;0.9907688498497009;positive;0.9933133721351624;negative;0.9998266100883484;negative;0.9998378753662109
63;saya miskin.;fw;negative;ketidakpuasan;neutral;-;negative;ketidakpuasan;negative;0.9978304505348206;positive;0.9944820404052734;negative;0.9998743534088135;negative;0.9998409748077393
64;Gak punya peluang juga untuk ngapa-ngapain.;fw;neutral;-;neutral;ketidakpuasan;negative;ketidakpuasan;negative;0.9946847558021545;positive;0.5404253602027893;neutral;0.9992326498031616;negative;0.9990087747573853
65;Saya mau coba sesuatu, mau usaha,;fw;positive;kepuasan;positive;kepuasan;positive;kepuasan;neutral;0.942911684513092;neutral;0.9520594477653503;positive;0.9996154308319092;positive;0.9230149388313293
66;tapi saya takut gagal.;fw;positive;ketidakpuasan;neutral;-;negative;ketidakpuasan;negative;0.9959955215454102;positive;0.8314255475997925;neutral;0.9995744824409485;negative;0.9997486472129822
67;Itu saya dari duduk langsung berdiri.;fw;neutral;-;neutral;-;neutral;-;neutral;0.9891291856765747;neutral;0.989159882068634;neutral;0.9995249509811401;neutral;0.9994070529937744
68;Dari duduk langsung berdiri,;fw;neutral;-;neutral;-;neutral;-;neutral;0.9871845841407776;neutral;0.8839439749717712;neutral;0.9997491240501404;neutral;0.9962050318717957
69;terus saya bilang,;fw;positive;kepuasan;neutral;-;neutral;-;neutral;0.9867027997970581;positive;0.9677647352218628;neutral;0.9998807907104492;negative;0.7550851702690125
70;eh anda tuh goblok, bener-bener goblok.;fw;negative;hinaan;negative;hinaan;negative;hinaan;negative;0.9982811212539673;positive;0.9983468055725098;negative;0.9998735189437866;negative;0.9998565912246704
71;Saya gak pernah ketemu orang segoblok gini.;fw;negative;hinaan;negative;hinaan;negative;hinaan;negative;0.9962053894996643;positive;0.9957457184791565;negative;0.9997574687004089;negative;0.9997982382774353
72;Anda tuh sudah miskin.;fw;negative;hinaan;negative;hinaan;negative;hinaan;negative;0.9980950951576233;positive;0.994742751121521;negative;0.9998873472213745;negative;0.9998537302017212
73;Jadi, terus resikonya apa gitu kalau udah miskin?;fw;negative;hinaan;negative;ketidakpuasan;negative;ketidakpuasan;negative;0.9959805011749268;positive;0.9976338148117065;negative;0.9927794337272644;negative;0.999603807926178
74;Anda mau usaha, lalu takut gagal.;fw;neutral;-;neutral;ketidakpuasan;negative;ketidakpuasan;negative;0.988675594329834;positive;0.9893429279327393;negative;0.9998102784156799;negative;0.9998378753662109
75;Kalau gagal, Anda tetap miskin masalahnya.;fw;negative;hinaan;negative;hinaan;negative;hinaan;negative;0.9976795315742493;positive;0.9441244602203369;negative;0.9998759031295776;negative;0.999640703201294
76;Kalau Anda anak kurang kaya gagal,;fw;neutral;-;negative;ketidakpuasan;negative;ketidakpuasan;negative;0.9961981177330017;positive;0.9899219870567322;negative;0.9997324347496033;negative;0.9997724890708923
77;duit bapaknya dipakai.;fw;positive;kepuasan;neutral;-;neutral;-;negative;0.8587377667427063;positive;0.9973940849304199;neutral;0.9995836615562439;negative;0.9997944235801697
78;Kalau Anda gak punya apa-apa, udah miskin,;fw;negative;-;negative;hinaan;negative;hinaan;negative;0.9974091649055481;positive;0.9978535771369934;negative;0.999883770942688;negative;0.9998395442962646
79;lalu mau mencoba sesuatu tapi takut gagal,;fw;neutral;-;neutral;-;negative;ketidakpuasan;negative;0.7580274939537048;positive;0.9900231957435608;negative;0.999715268611908;negative;0.9998061060905457
80;kan tolol orang udah miskin juga,;fw;negative;hinaan;negative;ketidakpuasan;negative;hinaan;negative;0.998247504234314;positive;0.9979797005653381;negative;0.9998929500579834;negative;0.9998611211776733
81;mau balik ke apa?;fw;neutral;-;neutral;-;neutral;-;negative;0.8498497009277344;positive;0.5164015293121338;neutral;0.9998672008514404;negative;0.9996248483657837
82;Tetap miskin.;fw;neutral;-;neutral;-;neutral;-;negative;0.997047483921051;negative;0.9209296107292175;negative;0.9989939332008362;negative;0.9998389482498169
83;Ya paling pinjol nambah.;fw;positive;kepuasan;neutral;hinaan;positive;kepuasan;negative;0.704411506652832;positive;0.5350304841995239;neutral;0.9987998008728027;positive;0.6297407746315002
84;Tapi kan udah biasa kan dikejar-kejar sama pinjol.;fw;positive;kepuasan;neutral;hinaan;negative;hinaan;negative;0.9936040043830872;positive;0.9981548190116882;negative;0.999710738658905;negative;0.9997842907905579
85;Jadi gak ada masalah.;fw;neutral;-;neutral;-;neutral;-;positive;0.9442718625068665;positive;0.995707094669342;neutral;0.9991794228553772;negative;0.9745892286300659
86;Itu yang jadi masalah.;fw;neutral;-;neutral;-;neutral;-;negative;0.9906653165817261;positive;0.9962353110313416;neutral;0.9069251418113708;negative;0.9998021721839905
87;Saya marah-marah.;fw;negative;ketidakpuasan;negative;-;negative;ketidakpuasan;negative;0.9977124929428101;positive;0.9976994395256042;negative;0.9998726844787598;negative;0.9998338222503662
88;Saya maki-maki orang lagi seminar.;fw;negative;ketidakpuasan;negative;ketidakpuasan;negative;ketidakpuasan;negative;0.997320830821991;neutral;0.7211830615997314;negative;0.9998743534088135;negative;0.9998352527618408
89;Makanya kayaknya jarang orang mau pakainya seminar.;fw;neutral;-;neutral;-;negative;ketidakpuasan;negative;0.6964465379714966;positive;0.9947785139083862;neutral;0.999874472618103;negative;0.5297978520393372
90;Karena isinya saya marah-marah doang.;fw;negative;kepuasan;negative;-;neutral;-;negative;0.9979756474494934;positive;0.9984329342842102;negative;0.9998843669891357;negative;0.9998424053192139
91;Jadi kalau anak goblak gue, gue usir di rumah.;fw;neutral;-;neutral;ketidakpuasan;negative;hinaan;negative;0.997850775718689;positive;0.9921859502792358;negative;0.9998621940612793;negative;0.999409556388855
92;Dan ini pelajaran yang gue dapetin dari bapak gue.;fw;positive;pujian;neutral;kepuasan;positive;kepuasan;positive;0.6739946603775024;neutral;0.9413948059082031;neutral;0.9997782111167908;positive;0.9945970773696899
93;Ini sangat menarik.;fw;positive;kepuasan;positive;kepuasan;positive;kepuasan;positive;0.9947307109832764;negative;0.997710108757019;positive;0.997940719127655;positive;0.9997019171714783
94;Karena gue belajar ini dari bapak gue.;fw;positive;pujian;positive;kepuasan;positive;pujian;neutral;0.9428896307945251;neutral;0.8322382569313049;neutral;0.9998738765716553;positive;0.9968221187591553
95;Kenapa?;fw;neutral;-;neutral;-;neutral;-;negative;0.9714755415916443;positive;0.9889926314353943;neutral;0.9998784065246582;negative;0.9995762705802917
96;Karena bapak gue tuh orang baik banget.;fw;positive;pujian;positive;kepuasan;positive;pujian;positive;0.9938763976097107;negative;0.7473045587539673;positive;0.9995818734169006;positive;0.9980170726776123
97;Tapi buat saya,;fw;neutral;-;neutral;ketidakpuasan;neutral;-;neutral;0.8310897946357727;positive;0.9725500345230103;neutral;0.9998782873153687;negative;0.9490094780921936
98;bapak gue yang gue sayang banget,;fw;positive;pujian;positive;kepuasan;positive;pujian;positive;0.9399462938308716;negative;0.9970082640647888;positive;0.9998108744621277;positive;0.9996042847633362
99;yang sudah marhum,;fw;neutral;-;neutral;-;neutral;-;positive;0.38102927803993225;neutral;0.9515374898910522;neutral;0.999788224697113;negative;0.9995905756950378
100;adalah orang yang lemah.;fw;neutral;-;neutral;hinaan;negative;hinaan;negative;0.9968967437744141;positive;0.9950345754623413;negative;0.9994516968727112;negative;0.999724805355072
101;Habis saya ngomong ini,;fw;neutral;-;neutral;-;neutral;-;negative;0.774198591709137;positive;0.9968770742416382;neutral;0.999729573726654;negative;0.9998132586479187
102;ibu saya kalau nonton,;fw;neutral;-;neutral;-;neutral;-;neutral;0.9920520782470703;neutral;0.9501808285713196;neutral;0.9996125102043152;neutral;0.9976536631584167
103;ibu saya akan ngomel-ngomel;fw;neutral;-;neutral;ketidakpuasan;negative;ketidakpuasan;negative;0.9969107508659363;positive;0.6131638288497925;negative;0.9998973608016968;negative;0.999632716178894
104;karena saya bilang ayah saya orang yang lemah.;fw;neutral;-;neutral;ketidakpuasan;negative;hinaan;negative;0.9976414442062378;positive;0.9974633455276489;negative;0.9995274543762207;negative;0.999797523021698
105;Tapi memang benar.;fw;positive;kepuasan;neutral;-;positive;kepuasan;neutral;0.8909790515899658;negative;0.987835705280304;neutral;0.9998822212219238;negative;0.9857839345932007
106;Ayah saya tuh orang yang lemah.;fw;negative;hinaan;neutral;hinaan;negative;hinaan;negative;0.9981361627578735;positive;0.996434211730957;negative;0.9998772144317627;negative;0.9998512268066406
107;Itu masalahnya.;fw;neutral;-;neutral;-;neutral;-;negative;0.975277304649353;positive;0.9970213770866394;neutral;0.9998623132705688;negative;0.99977046251297
108;Dan itulah kenapa saya belajar dari itu.;fw;positive;pujian;neutral;-;neutral;-;neutral;0.5772767066955566;positive;0.9908548593521118;neutral;0.9998792409896851;negative;0.8004255890846252
109;Baik loh ya.;fw;positive;pujian;positive;pujian;positive;pujian;positive;0.9549209475517273;negative;0.9806915521621704;neutral;0.9984605312347412;positive;0.9994146823883057
110;Dan saya sayang sekali sama ayah saya.;fw;positive;pujian;positive;pujian;positive;pujian;positive;0.9882405996322632;negative;0.9970172643661499;positive;0.999895453453064;positive;0.9996115565299988
111;Waktu dia meninggal, saya nangis-nangis.;fw;neutral;-;neutral;-;neutral;-;negative;0.9844347834587097;neutral;0.9909594058990479;negative;0.689825177192688;negative;0.9997428059577942
112;Setahun tuh gak bisa ngelupa.;fw;neutral;-;neutral;-;neutral;-;positive;0.5053932070732117;positive;0.9912235736846924;neutral;0.9998815059661865;negative;0.9998430013656616
113;Tiap hari mimpinya dia gitu.;fw;positive;ketidakpuasan;neutral;-;neutral;-;neutral;0.8358749747276306;positive;0.692327618598938;neutral;0.9998922348022461;neutral;0.5192006826400757
114;Tapi lemah.;fw;neutral;-;neutral;hinaan;negative;hinaan;negative;0.9975282549858093;positive;0.5768967270851135;neutral;0.9994701743125916;negative;0.9997640252113342
115;Jadi saya berkata benar.;fw;neutral;-;neutral;kepuasan;neutral;-;neutral;0.941938042640686;positive;0.4534103274345398;neutral;0.9996328353881836;negative;0.9891858696937561
116;Karena ayah saya tuh orang yang nerima keadaan.;fw;neutral;-;neutral;-;neutral;-;neutral;0.8883912563323975;positive;0.9854651093482971;neutral;0.9998408555984497;negative;0.99969482421875
117;Apa aja dia terima.;fw;positive;kepuasan;neutral;-;negative;ketidakpuasan;negative;0.5417700409889221;negative;0.7905537486076355;neutral;0.9998699426651001;negative;0.8743860721588135
118;Hidup susah,;fw;negative;ketidakpuasan;neutral;ketidakpuasan;negative;ketidakpuasan;negative;0.9973675608634949;positive;0.9658967852592468;negative;0.9998713731765747;negative;0.9997419714927673
119;dia berusaha bahagia.;fw;positive;pujian;neutral;pujian;neutral;-;positive;0.9764752388000488;negative;0.9922547340393066;neutral;0.5677318572998047;positive;0.9997194409370422
120;Itu kan kalau kata-kata motivator.;fw;neutral;-;neutral;-;neutral;-;neutral;0.9484155178070068;positive;0.7851918339729309;neutral;0.9998894929885864;positive;0.9695551991462708
121;Dalam kesusahan cari kebahagiaan.;fw;positive;pujian;positive;-;positive;-;negative;0.9749499559402466;neutral;0.7191635966300964;negative;0.9997194409370422;negative;0.9997066855430603
122;Pahalamu.;fw;neutral;-;neutral;-;neutral;-;positive;0.9916980266571045;positive;0.981415867805481;neutral;0.9997257590293884;positive;0.995236337184906
123;Hidup pas-pasan, dia terima.;fw;positive;pujian;neutral;pujian;negative;ketidakpuasan;positive;0.4844941794872284;neutral;0.7983088493347168;neutral;0.9998646974563599;positive;0.9986697435379028
124;Anak-anaknya semua disuruh nerima keadaan juga.;fw;neutral;-;neutral;-;negative;ketidakpuasan;negative;0.9084184765815735;positive;0.9943944215774536;neutral;0.999858021736145;negative;0.9998462200164795
125;Jadi,;fw;neutral;-;neutral;-;neutral;-;neutral;0.5413801074028015;negative;0.7888572812080383;neutral;0.9998100399971008;positive;0.9239464998245239
126;kalau keadaan sewaktu itu lagi susah,;fw;neutral;-;neutral;-;neutral;-;negative;0.6368452310562134;positive;0.9968462586402893;negative;0.9945218563079834;negative;0.9997106194496155
127;ya bukan lagi susah,;fw;neutral;-;neutral;-;neutral;-;positive;0.7392765283584595;positive;0.9452300667762756;neutral;0.9896368384361267;negative;0.91446453332901
128;memang tiap hari susah.;fw;negative;ketidakpuasan;neutral;ketidakpuasan;negative;ketidakpuasan;negative;0.8930590152740479;positive;0.9862040281295776;neutral;0.9998200535774231;negative;0.999812662601471
129;Ayah saya selalu mencoba untuk membahagiakan;fw;positive;pujian;positive;kepuasan;neutral;-;positive;0.9325124621391296;negative;0.9080442190170288;positive;0.9998898506164551;positive;0.9996137022972107
130;dan seakan-akan hidup tuh ya normalnya seperti itu.;fw;positive;kepuasan;neutral;kepuasan;neutral;-;negative;0.9638809561729431;positive;0.9963529109954834;neutral;0.9998025298118591;negative;0.9996541738510132
131;Dan bodohnya,;fw;neutral;-;neutral;ketidakpuasan;negative;ketidakpuasan;negative;0.997752845287323;positive;0.9980412721633911;negative;0.999812662601471;negative;0.9998490810394287
132;saya masuk ke dalam halusinasi yang sama;fw;neutral;-;neutral;-;negative;ketidakpuasan;neutral;0.9075688719749451;neutral;0.9894148111343384;negative;0.9997965693473816;negative;0.9997515082359314
133;seperti orang-orang kaya yang punya anak itu.;fw;negative;ketidakpuasan;neutral;-;neutral;-;negative;0.9631410837173462;positive;0.990152895450592;neutral;0.9995995163917542;negative;0.9996774196624756
134;Yang anaknya hidup dalam halusinasi kekayaan, kemewahan.;fw;neutral;-;negative;hinaan;negative;hinaan;negative;0.986767590045929;positive;0.6477847099304199;negative;0.9997956156730652;negative;0.9998086094856262
135;Saya hidup dalam halusinasi bahwa hidup itu tidak bisa berubah.;fw;negative;ketidakpuasan;neutral;ketidakpuasan;negative;ketidakpuasan;negative;0.9757087230682373;positive;0.9943494200706482;negative;0.9998618364334106;negative;0.9980791807174683
136;Ya seperti itu aja.;fw;positive;ketidakpuasan;neutral;-;neutral;-;negative;0.946342408657074;positive;0.9917910099029541;neutral;0.9998672008514404;negative;0.9997461438179016
137;Yaudah diem disana.;fw;negative;ketidakpuasan;neutral;hinaan;neutral;-;negative;0.9697802662849426;positive;0.8548378944396973;neutral;0.9998762607574463;negative;0.9981546998023987
138;Nah, lucu aja ya.;fw;neutral;-;neutral;-;neutral;-;positive;0.811774492263794;negative;0.9869908690452576;neutral;0.9998738765716553;positive;0.9117289185523987
139;Ada satu-satu,;fw;positive;kepuasan;neutral;-;neutral;-;neutral;0.9804835915565491;neutral;0.6616842746734619;neutral;0.9998014569282532;positive;0.9876911640167236
140;saya lagi duduk berdua sama ayah saya.;fw;positive;kepuasan;neutral;-;neutral;-;neutral;0.9967846870422363;neutral;0.9898125529289246;positive;0.9950727820396423;positive;0.9137535095214844
141;Lagi makan di pinggir jalan gitu.;fw;positive;ketidakpuasan;neutral;-;neutral;-;neutral;0.9145589470863342;neutral;0.994830310344696;neutral;0.9998822212219238;neutral;0.9712192416191101
142;Terus ada mobil Mercy lewat.;fw;neutral;-;neutral;-;neutral;-;neutral;0.9971567392349243;neutral;0.931069552898407;negative;0.9989216327667236;neutral;0.9825809597969055
143;Terus ayah saya ngomong,;fw;neutral;-;neutral;-;neutral;-;neutral;0.9842345118522644;positive;0.9916600584983826;neutral;0.9998327493667603;negative;0.9998080134391785
144;dia manggil saya Dad juga sih.;fw;neutral;-;neutral;-;neutral;-;neutral;0.9738432765007019;positive;0.9758958220481873;neutral;0.9998867511749268;negative;0.9995929598808289
